ID,TITLE,ARTIST,SWEET,WARM,ENTHUSIASTIC,MODERN,SORROW,SCORE
1,이럴거면 그러지말지 (Feat. 영현),백아연,2.755,2.6375,2.7225,2.71,3.925,14.75
2,위잉위잉,혁오,1.4,3.0775,4.605,4.57,3.02,16.6725
3,BAE BAE,빅뱅,1.845,2.1125,4.8475,4.72,2.18,15.705
4,LOSER,빅뱅,1.395,2.94,4.0575,2.71,4.615,15.7175
5,위아래,exid,2.325,1.725,6.1875,2.89,1.255,14.3825
6,심쿵해 (Heart Attack),AOA,3.575,2,5.0275,2.62,1.17,14.3925
7,그냥 (Just),"자이언트, 크러시",1.48,3.3275,2.6825,4.36,5.245,17.095
8,또 다시 사랑,임창정,1.155,2.69,2.5025,2.08,5.66,14.0875
9,와리가리,혁오,1.655,3.035,3.0575,5.03,3.43,16.2075
10,오늘부터 우리는 (Me gustas tu),여자친구,5.67,3.8375,4.3725,2.35,1.165,17.395
11,어머님이 누구니 (Feat. 제시),박진영,1.995,1.975,4.875,4.51,1,14.355
12,아예 (Ah Yeah),exid,1.96,1.3625,4.6425,2.63,1,11.595
13,사월의 눈,허각,1.555,3.8625,1.3525,1.99,5.32,14.08
14,IF YOU,빅뱅,1.24,2.63,2.305,3.43,5.335,14.94
15,야생화,박효신,1.43,3.8275,1.845,2.44,4.185,13.7275
16,Lion Heart,소녀시대,3.855,3.035,3.33,3.28,1.16,14.66
17,어깨,권정열 & 소유,3.11,4.725,2.9775,4.09,1.655,16.5575
18,금요일에 만나요 (Feat. 장이정),아이유,4.815,4.25,3.665,3.61,1.405,17.745
19,GOOD BOY,GD & 태양,1.855,1.855,5.7,4.94,1,15.35
20,또 운다 또,다비치,1.635,3.1125,2.0975,1.99,3.355,12.19
21,사뿐사뿐 (Like a Cat),AOA,2.16,2.19,4.845,2.87,1,13.065
22,Remember,A-Pink,4.83,3.4225,3.26,2.2,1.24,14.9525
23,스물셋,아이유,3.12,2.57,3.2325,4.74,1,14.6625
24,Dumb Dumb,f(x),3.17,2.38,4.265,3.12,1,13.935
25,보통연애 (Feat. 박보람),박경,4.195,4.5,2.58,3.59,1,15.865
26,한번 더 말해줘 (Feat. 장한나),지누션,1.865,2.225,4.1425,2.35,1,11.5825
27,링마벨 (Ring My Bell),걸스데이,3.275,2.225,4.54,2.83,1,13.87
28,가슴 뛰도록,SG워너비,3.135,3.75,1.8675,1.54,1,11.2925
29,미쳐,포미닛,1.305,1.5175,4.8825,2.86,1,11.565
30,꽃이 핀다,케이윌,1.365,3.285,1.8025,1.54,5.26,13.2525
31,사랑은 미친짓 (Feat. 칸토 of 트로이),15&,2.37,3.44,2.675,3.68,3.005,15.17
32,새벽 가로수길 (With 송유빈),백지영,1.9,3.9575,2.1725,2.44,4.245,14.715
33,Apple (Feat. 박재범),가인,3.65,2.3875,2.635,3.6,1,13.2725
34,품행제로,지코,1.375,2.0875,5.41,3.43,1,13.3025
35,DADDY (Feat. CL of 2NE1),싸이,1.76,2.355,5.725,3.92,1,14.76
36,커피 (Prod. by G-Park 박명수),유재환,2.36,3.4225,3.5675,3.48,2.165,14.995
37,푸르던,아이유,4.02,4.63,2.08,3.08,2.915,16.725
38,리듬 타 (RHYTHM TA),IKON,1.38,1.9925,4.65,3.31,1,12.3325
39,싱숭생숭 (SsSs),다이나믹 듀오,2.085,3.2075,3.9625,4.32,2.005,15.58
40,행복해서 미안해,다비치,1.825,3.475,2.0275,2.08,2.49,11.8975
